No,Name,Type 1,Type 2
#0814,Raboot,Fire,None
#0815,Cinderace,Fire,None
#0816,Sobble,Water,None
#0817,Drizzile,Water,None
#0818,Inteleon,Water,None
#0819,Skwovet,Normal,None
#0820,Greedent,Normal,None
#0821,Rookidee,Flying,None
#0822,Corvisquire,Flying,None
#0823,Corviknight,Flying,Steel
#0824,Blipbug,Bug,None
#0825,Dottler,Bug,Psychic
#0826,Orbeetle,Bug,Psychic
#0827,Nickit,Dark,None
#0828,Thievul,Dark,None
#0829,Gossifleur,Grass,None
#0830,Eldegoss,Grass,None
#0831,Wooloo,Normal,None
#0832,Dubwool,Normal,None
#0833,Chewtle,Water,None
#0834,Drednaw,Water,Rock
#0835,Yamper,Electric,None
#0836,Boltund,Electric,None
#0837,Rolycoly,Rock,None
#0838,Carkol,Rock,Fire
#0839,Coalossal,Rock,Fire
#0840,Applin,Grass,Dragon
#0841,Flapple,Grass,Dragon
#0842,Appletun,Grass,Dragon
#0843,Silicobra,Ground,None
#0844,Sandaconda,Ground,None
#0845,Cramorant,Flying,Water
#0846,Arrokuda,Water,None
#0847,Barraskewda,Water,None
#0848,Toxel,Electric,Poison
#0849,ToxtricityAmped Form,Electric,Poison
#0850,Sizzlipede,Fire,Bug
#0851,Centiskorch,Fire,Bug
#0852,Clobbopus,Fighting,None
#0853,Grapploct,Fighting,None
#0854,Sinistea,Ghost,None
#0855,Polteageist,Ghost,None
#0856,Hatenna,Psychic,None
#0857,Hattrem,Psychic,None
#0858,Hatterene,Psychic,Fairy
#0859,Impidimp,Dark,Fairy
#0860,Morgrem,Dark,Fairy
#0861,Grimmsnarl,Dark,Fairy
#0862,Obstagoon,Dark,Normal
#0863,Perrserker,Steel,None
#0864,Cursola,Ghost,None
#0865,Sirfetch'd,Fighting,None
#0866,Mr. Rime,Ice,Psychic
#0867,Runerigus,Ground,Ghost
#0868,Milcery,Fairy,None
#0869,AlcremieVanilla Cream,Fairy,None
#0870,Falinks,Fighting,None
#0871,Pincurchin,Electric,None
#0872,Snom,Ice,Bug
#0873,Frosmoth,Ice,Bug
#0874,Stonjourner,Rock,None
#0875,EiscueIce Face,Ice,None
#0876,IndeedeeMale,Psychic,Normal
#0877,MorpekoFull Belly Mode,Electric,Dark
#0878,Cufant,Steel,None
#0879,Copperajah,Steel,None
#0880,Dracozolt,Electric,Dragon
#0881,Arctozolt,Electric,Ice
#0882,Dracovish,Water,Dragon
#0883,Arctovish,Water,Ice
#0884,Duraludon,Steel,Dragon
#0885,Dreepy,Dragon,Ghost
#0886,Drakloak,Dragon,Ghost
#0887,Dragapult,Dragon,Ghost
#0888,ZacianHero of Many Battles,Fairy,None
#0889,ZamazentaHero of Many Battles,Fighting,None
#0890,Eternatus,Poison,Dragon
#0891,Kubfu,Fighting,None
#0892,UrshifuSingle Strike Style,Fighting,Dark
#0893,Zarude,Dark,Grass
#0894,Regieleki,Electric,None
#0895,Regidrago,Dragon,None
#0896,Glastrier,Ice,None
#0897,Spectrier,Ghost,None
#0898,Calyrex,Psychic,Grass
#0899,Wyrdeer,Normal,Psychic
#0900,Kleavor,Bug,Rock
#0901,Ursaluna,Ground,Normal
#0902,BasculegionMale,Water,Ghost
#0903,Sneasler,Fighting,Poison
#0904,Overqwil,Dark,Poison
#0905,EnamorusIncarnate Forme,Fairy,Flying
#0906,Sprigatito,Grass,None
#0907,Floragato,Grass,None
#0908,Meowscarada,Grass,Dark
#0909,Fuecoco,Fire,None
#0910,Crocalor,Fire,None
#0911,Skeledirge,Fire,Ghost
#0912,Quaxly,Water,None
#0913,Quaxwell,Water,None
#0914,Quaquaval,Water,Fighting
#0915,Lechonk,Normal,None
#0916,OinkologneMale,Normal,None
#0917,Tarountula,Bug,None
#0918,Spidops,Bug,None
#0919,Nymble,Bug,None
#0920,Lokix,Bug,Dark
#0921,Pawmi,Electric,None
#0922,Pawmo,Electric,Fighting
#0923,Pawmot,Electric,Fighting
#0924,Tandemaus,Normal,None
#0925,MausholdFamily of Three,Normal,None
#0926,Fidough,Fairy,None
#0927,Dachsbun,Fairy,None
#0928,Smoliv,Grass,Normal
#0929,Dolliv,Grass,Normal
#0930,Arboliva,Grass,Normal
#0931,SquawkabillyGreen Plumage,Normal,Flying
#0932,Nacli,Rock,None
#0933,Naclstack,Rock,None
#0934,Garganacl,Rock,None
#0935,Charcadet,Fire,None
#0936,Armarouge,Fire,Psychic
#0937,Ceruledge,Fire,Ghost
#0938,Tadbulb,Electric,None
#0939,Bellibolt,Electric,None
#0940,Wattrel,Electric,Flying
#0941,Kilowattrel,Electric,Flying
#0942,Maschiff,Dark,None
#0943,Mabosstiff,Dark,None
#0944,Shroodle,Poison,Normal
#0945,Grafaiai,Poison,Normal
#0946,Bramblin,Grass,Ghost
#0947,Brambleghast,Grass,Ghost
#0948,Toedscool,Ground,Grass
#0949,Toedscruel,Ground,Grass
#0950,Klawf,Rock,None
#0951,Capsakid,Grass,None
#0952,Scovillain,Grass,Fire
#0953,Rellor,Bug,None
#0954,Rabsca,Bug,Psychic
#0955,Flittle,Psychic,None
#0956,Espathra,Psychic,None
#0957,Tinkatink,Fairy,Steel
#0958,Tinkatuff,Fairy,Steel
#0959,Tinkaton,Fairy,Steel
#0960,Wiglett,Water,None
#0961,Wugtrio,Water,None
#0962,Bombirdier,Flying,Dark
#0963,Finizen,Water,None
#0964,PalafinZero Form,Water,None
#0965,Varoom,Steel,Poison
#0966,Revavroom,Steel,Poison
#0967,Cyclizar,Dragon,Normal
#0968,Orthworm,Steel,None
#0969,Glimmet,Rock,Poison
#0970,Glimmora,Rock,Poison
#0971,Greavard,Ghost,None
#0972,Houndstone,Ghost,None
#0973,Flamigo,Flying,Fighting
#0974,Cetoddle,Ice,None
#0975,Cetitan,Ice,None
#0976,Veluza,Water,Psychic
#0977,Dondozo,Water,None
#0978,TatsugiriCurly Form,Dragon,Water
#0979,Annihilape,Fighting,Ghost
#0980,Clodsire,Poison,Ground
#0981,Farigiraf,Normal,Psychic
#0982,DudunsparceTwo-Segment Form,Normal,None
#0983,Kingambit,Dark,Steel
#0984,Great Tusk,Ground,Fighting
#0985,Scream Tail,Fairy,Psychic
#0986,Brute Bonnet,Grass,Dark
#0987,Flutter Mane,Ghost,Fairy
#0988,Slither Wing,Bug,Fighting
#0989,Sandy Shocks,Electric,Ground
#0990,Iron Treads,Ground,Steel
#0991,Iron Bundle,Ice,Water
#0992,Iron Hands,Fighting,Electric
#0993,Iron Jugulis,Dark,Flying
#0994,Iron Moth,Fire,Poison
#0995,Iron Thorns,Rock,Electric
#0996,Frigibax,Dragon,Ice
#0997,Arctibax,Dragon,Ice
#0998,Baxcalibur,Dragon,Ice
#0999,GimmighoulChest Form,Ghost,None
#1000,Gholdengo,Steel,Ghost
#1001,Wo-Chien,Dark,Grass
#1002,Chien-Pao,Dark,Ice
#1003,Ting-Lu,Dark,Ground
#1004,Chi-Yu,Dark,Fire
#1005,Roaring Moon,Dragon,Dark
#1006,Iron Valiant,Fairy,Fighting
#1007,KoraidonApex Build,Fighting,Dragon
#1008,MiraidonUltimate Mode,Electric,Dragon
#1009,Walking Wake,Water,Dragon
#1010,Iron Leaves,Grass,Psychic
#1011,Dipplin,Grass,Dragon
#1012,Poltchageist,Grass,Ghost
#1013,Sinistcha,Grass,Ghost
#1014,Okidogi,Poison,Fighting
#1015,Munkidori,Poison,Psychic
#1016,Fezandipiti,Poison,Fairy
#1017,OgerponTeal Mask,Grass,None
#1018,Archaludon,Steel,Dragon
#1019,Hydrapple,Grass,Dragon
#1020,Gouging Fire,Fire,Dragon
#1021,Raging Bolt,Electric,Dragon
#1022,Iron Boulder,Rock,Psychic
#1023,Iron Crown,Steel,Psychic
#1024,TerapagosNormal Form,Normal,None
#1025,Pecharunt,Poison,Ghost
